Loading workload 100 _1_0 try 1
Loading workload 1000 _50_50 try 3
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.70%     85.2MiB / 7.73GiB    1.08%     4.73MB / 2.47MB   0B / 44.1MB   72
8fef7395547f   secondary2   0.65%     86.02MiB / 7.73GiB   1.09%     4.73MB / 2.5MB    0B / 44.1MB   71
220160fff8e1   primary      0.67%     110.2MiB / 7.73GiB   1.39%     43.9MB / 21.6MB   0B / 37.4MB   81
5a054c53aef7   secondary3   0.69%     85.23MiB / 7.73GiB   1.08%     4.64MB / 2.46MB   0B / 43.8MB   72
Loading workload 1000 _10_90 try 3
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.49%     85.18MiB / 7.73GiB   1.08%     4.79MB / 2.54MB   0B / 46.8MB   71
8fef7395547f   secondary2   0.54%     86.02MiB / 7.73GiB   1.09%     4.79MB / 2.57MB   0B / 46.9MB   71
220160fff8e1   primary      0.62%     110.5MiB / 7.73GiB   1.40%     45.9MB / 22.4MB   0B / 40MB     81
5a054c53aef7   secondary3   0.63%     85.52MiB / 7.73GiB   1.08%     4.7MB / 2.52MB    0B / 46.6MB   72
Loading workload 100 _1_0 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   0.54%     84.64MiB / 7.73GiB   1.07%     1.88MB / 564kB    45.1MB / 4.1MB    69
b9633d65fafd   secondary2   29.58%    76.95MiB / 7.73GiB   0.97%     1.81MB / 561kB    3.19MB / 4.12MB   68
84e3f0c4f254   secondary3   0.56%     77.66MiB / 7.73GiB   0.98%     1.89MB / 560kB    10.8MB / 4.18MB   70
a3ce8b8c30c6   primary      0.63%     77.24MiB / 7.73GiB   0.98%     2.38MB / 5.07MB   66.8MB / 3.34MB   69
Loading workload 100 _50_50 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   0.45%     84.96MiB / 7.73GiB   1.07%     1.92MB / 615kB    45.1MB / 4.12MB   69
b9633d65fafd   secondary2   0.60%     77.41MiB / 7.73GiB   0.98%     1.85MB / 612kB    3.19MB / 4.15MB   68
84e3f0c4f254   secondary3   0.52%     78.05MiB / 7.73GiB   0.99%     1.93MB / 610kB    10.8MB / 4.21MB   70
a3ce8b8c30c6   primary      0.81%     78.84MiB / 7.73GiB   1.00%     3.68MB / 5.29MB   66.8MB / 3.37MB   69
Loading workload 100 _10_90 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   0.65%     84.86MiB / 7.73GiB   1.07%     2.06MB / 699kB    45.1MB / 4.38MB   66
b9633d65fafd   secondary2   0.67%     77.34MiB / 7.73GiB   0.98%     1.99MB / 697kB    3.19MB / 4.38MB   66
84e3f0c4f254   secondary3   0.64%     77.95MiB / 7.73GiB   0.98%     2.08MB / 696kB    10.8MB / 4.46MB   67
a3ce8b8c30c6   primary      0.56%     80.35MiB / 7.73GiB   1.02%     5.12MB / 5.76MB   66.8MB / 3.51MB   68
Loading workload 500 _1_0 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
74baff9e5a2e   secondary1   1.34%     85.65MiB / 7.73GiB   1.08%     2.17MB / 764kB   45.1MB / 7.38MB   66
b9633d65fafd   secondary2   0.93%     78.3MiB / 7.73GiB    0.99%     2.1MB / 763kB    3.19MB / 7.38MB   67
84e3f0c4f254   secondary3   0.53%     78.41MiB / 7.73GiB   0.99%     2.18MB / 757kB   10.8MB / 7.45MB   65
a3ce8b8c30c6   primary      1.06%     82.43MiB / 7.73GiB   1.04%     6.6MB / 6.08MB   66.8MB / 6.33MB   69
Loading workload 500 _50_50 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   0.74%     85.61MiB / 7.73GiB   1.08%     2.21MB / 814kB    45.1MB / 7.44MB   65
b9633d65fafd   secondary2   0.56%     78.29MiB / 7.73GiB   0.99%     2.14MB / 814kB    3.19MB / 7.44MB   67
84e3f0c4f254   secondary3   0.54%     78.52MiB / 7.73GiB   0.99%     2.23MB / 812kB    10.8MB / 7.52MB   66
a3ce8b8c30c6   primary      0.62%     83.82MiB / 7.73GiB   1.06%     7.96MB / 6.81MB   66.8MB / 6.4MB    69
Loading workload 500 _10_90 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   0.64%     86.4MiB / 7.73GiB    1.09%     2.54MB / 962kB    45.1MB / 8.04MB   65
b9633d65fafd   secondary2   0.63%     78.98MiB / 7.73GiB   1.00%     2.48MB / 964kB    3.19MB / 8.08MB   67
84e3f0c4f254   secondary3   0.53%     79.33MiB / 7.73GiB   1.00%     2.58MB / 977kB    10.8MB / 8.19MB   68
a3ce8b8c30c6   primary      0.95%     86.51MiB / 7.73GiB   1.09%     9.87MB / 8.14MB   66.8MB / 10MB     69
Loading workload 1000 _1_0 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   0.48%     87.58MiB / 7.73GiB   1.11%     2.93MB / 1.08MB   45.1MB / 11.9MB   67
b9633d65fafd   secondary2   0.47%     79.79MiB / 7.73GiB   1.01%     2.89MB / 1.09MB   3.19MB / 12MB     67
84e3f0c4f254   secondary3   0.70%     80.36MiB / 7.73GiB   1.02%     2.99MB / 1.1MB    10.8MB / 12.1MB   67
a3ce8b8c30c6   primary      0.63%     89.08MiB / 7.73GiB   1.13%     12MB / 9.4MB      66.8MB / 10.4MB   68
Loading workload 1000 _50_50 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   0.60%     87.61MiB / 7.73GiB   1.11%     2.97MB / 1.13MB   45.1MB / 12MB     66
b9633d65fafd   secondary2   0.62%     80.12MiB / 7.73GiB   1.01%     2.93MB / 1.14MB   3.19MB / 12.1MB   67
84e3f0c4f254   secondary3   0.57%     80.45MiB / 7.73GiB   1.02%     3.03MB / 1.15MB   10.8MB / 12.2MB   66
a3ce8b8c30c6   primary      0.57%     90.34MiB / 7.73GiB   1.14%     13.4MB / 10.8MB   66.8MB / 10.5MB   68
Loading workload 1000 _10_90 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   1.18%     89.84MiB / 7.73GiB   1.13%     3.13MB / 1.22MB   45.2MB / 12.3MB   75
b9633d65fafd   secondary2   1.06%     82.26MiB / 7.73GiB   1.04%     3.07MB / 1.22MB   3.19MB / 12.4MB   77
84e3f0c4f254   secondary3   1.17%     82.23MiB / 7.73GiB   1.04%     3.17MB / 1.24MB   10.8MB / 12.4MB   75
a3ce8b8c30c6   primary      0.49%     94.15MiB / 7.73GiB   1.19%     15.5MB / 11.8MB   66.8MB / 14.5MB   74
Loading workload 100 _1_0 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   0.62%     91.4MiB / 7.73GiB    1.15%     3.76MB / 1.37MB   45.2MB / 16.9MB   76
b9633d65fafd   secondary2   0.49%     83.67MiB / 7.73GiB   1.06%     3.68MB / 1.36MB   3.19MB / 17MB     75
84e3f0c4f254   secondary3   0.58%     83.33MiB / 7.73GiB   1.05%     3.8MB / 1.39MB    10.8MB / 17.1MB   73
a3ce8b8c30c6   primary      0.62%     98.06MiB / 7.73GiB   1.24%     18.2MB / 13.8MB   66.8MB / 15.2MB   74
Loading workload 100 _50_50 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   0.70%     93.23MiB / 7.73GiB   1.18%     3.81MB / 1.43MB   45.2MB / 17MB     74
b9633d65fafd   secondary2   0.62%     83.7MiB / 7.73GiB    1.06%     3.73MB / 1.41MB   3.19MB / 17.2MB   74
84e3f0c4f254   secondary3   0.66%     83.52MiB / 7.73GiB   1.06%     3.84MB / 1.44MB   10.8MB / 17.2MB   76
a3ce8b8c30c6   primary      1.25%     99.66MiB / 7.73GiB   1.26%     19.5MB / 14MB     66.8MB / 15.4MB   74
Loading workload 100 _10_90 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   0.73%     93.43MiB / 7.73GiB   1.18%     3.85MB / 1.48MB   45.2MB / 22.8MB   73
b9633d65fafd   secondary2   0.54%     84.09MiB / 7.73GiB   1.06%     3.77MB / 1.46MB   3.19MB / 23MB     74
84e3f0c4f254   secondary3   0.76%     84.1MiB / 7.73GiB    1.06%     3.89MB / 1.5MB    10.8MB / 23MB     75
