500,50_50,secondary3,0.64,84.19,1.06,4106.24,1679.36
500,50_50,primary,1.07,104.4,1.32,24678.4,15769.6
500,10_90,secondary1,0.60,93.73,1.18,4116.48,1720.32
500,10_90,secondary2,0.60,84.57,1.07,4034.56,1710.08
500,10_90,secondary3,0.48,84.5, 1.07,4147.2,1740.8
500,10_90,primary,0.59,104.5,1.32,26521.6,15872.0
1000,1_0,secondary1,0.55,93.5, 1.18,4167.68,1781.76
1000,1_0,secondary2,0.60,84.63,1.07,4075.52,1761.28
1000,1_0,secondary3,0.52,84.5, 1.07,4198.4,1802.24
1000,1_0,primary,0.70,103.8,1.31,28057.6,17305.6
1000,50_50,secondary1,0.84,93.68,1.18,4208.64,1843.2
1000,50_50,secondary2,0.76,85.28,1.08,4126.72,1822.72
1000,50_50,secondary3,0.72,84.98,1.07,4249.6,1853.44
1000,50_50,primary,0.68,103.1,1.30,30105.6,18022.4
1000,10_90,secondary1,0.74,93.7, 1.18,4259.84,1894.4
1000,10_90,secondary2,1.15,85.25,1.08,4177.92,1884.16
1000,10_90,secondary3,1.11,85.03,1.07,4300.8,1925.12
1000,10_90,primary,1.13,103.6,1.31,32563.2,18329.6
100,1_0,secondary1,0.55,93.71,1.18,4311.04,1955.84
100,1_0,secondary2,0.56,85.25,1.08,4229.12,1945.6
100,1_0,secondary3,0.61,85.19,1.08,4352.0,1976.32
100,1_0,primary,0.73,104.1,1.32,33996.8,18534.4
100,50_50,secondary1,0.68,93.96,1.19,4362.24,2017.28
100,50_50,secondary2,0.66,85.46,1.08,4270.08,1996.8
100,50_50,secondary3,0.66,85.41,1.08,4392.96,2037.76
100,50_50,primary,1.19,104,  1.31,35328.0,18739.2
100,10_90,secondary1,0.82,93.97,1.19,4403.2,2078.72
100,10_90,secondary2,0.66,85.43,1.08,4321.28,2058.24
100,10_90,secondary3,0.73,85.42,1.08,4444.16,2088.96
100,10_90,primary,0.71,103.9,1.31,36761.6,18841.6
500,1_0,secondary1,0.93,93.99,1.19,4454.4,2140.16
500,1_0,secondary2,0.98,85.5, 1.08,4372.48,2119.68
500,1_0,secondary3,0.97,85.43,1.08,4495.36,2150.4
500,1_0,primary,0.68,104.9,1.33,38195.2,19558.4
500,50_50,secondary1,0.67,94.14,1.19,4505.6,2191.36
500,50_50,secondary2,0.60,85.52,1.08,4423.68,2181.12
500,50_50,secondary3,0.81,85.74,1.08,4536.32,2211.84
500,50_50,primary,0.64,105,  1.33,39936.0,20070.4
500,10_90,secondary1,0.69,94.13,1.19,4556.8,2252.8
500,10_90,secondary2,0.65,85.59,1.08,4464.64,2232.32
500,10_90,secondary3,0.55,85.71,1.08,4587.52,2273.28
500,10_90,primary,1.18,106.6,1.35,41779.2,20275.2
1000,1_0,secondary1,0.72,94.2, 1.19,4597.76,2314.24
1000,1_0,secondary2,1.28,85.6, 1.08,4515.84,2293.76
1000,1_0,secondary3,0.56,85.88,1.08,4638.72,2324.48
1000,1_0,primary,0.73,106.9,1.35,43315.2,21606.4
1000,50_50,secondary1,0.53,94.21,1.19,4648.96,2365.44
1000,50_50,secondary2,0.75,85.6, 1.08,4567.04,2355.2
1000,50_50,secondary3,0.65,85.88,1.08,4679.68,2385.92
1000,50_50,primary,0.85,106.9,1.35,45363.2,22425.6
1000,10_90,secondary1,1.20,94.34,1.19,4710.4,2437.12
1000,10_90,secondary2,1.02,85.65,1.08,4628.48,2416.64
1000,10_90,secondary3,1.43,85.95,1.09,4751.36,2447.36
1000,10_90,primary,0.74,108.9,1.38,47923.2,22732.8
100,1_0,secondary1,0.98,94.39,1.19,4761.6,2488.32
100,1_0,secondary2,1.10,85.69,1.08,4679.68,2478.08
100,1_0,secondary3,0.59,86.09,1.09,4792.32,2508.8
100,1_0,primary,0.90,110.7,1.40,49254.4,22937.6
100,50_50,secondary1,0.66,94.35,1.19,4802.56,2549.76
100,50_50,secondary2,0.61,85.64,1.08,4720.64,2529.28
100,50_50,secondary3,0.54,86.07,1.09,4843.52,2560.0
100,50_50,primary,1.00,112,  1.41,50688.0,23142.4
100,10_90,secondary1,0.62,94.32,1.19,4853.76,2600.96
100,10_90,secondary2,0.96,85.65,1.08,4771.84,2590.72
100,10_90,secondary3,0.55,86.04,1.09,4884.48,2621.44
100,10_90,primary,0.77,113.4,1.43,52121.6,23244.8
500,1_0,secondary1,0.60,94.29,1.19,4894.72,2662.4
500,1_0,secondary2,0.55,85.64,1.08,4812.8,2652.16
500,1_0,secondary3,0.56,86.03,1.09,4935.68,2672.64
500,1_0,primary,0.75,114.1,1.44,53452.8,23961.6
500,50_50,secondary1,0.73,94.32,1.19,4945.92,2723.84
500,50_50,secondary2,0.73,85.64,1.08,4864.0,2703.36
500,50_50,secondary3,0.54,86.03,1.09,4976.64,2734.08
500,50_50,primary,0.76,115.6,1.46,55091.2,24473.6
500,10_90,secondary1,0.52,94.4, 1.19,4997.12,2775.04
500,10_90,secondary2,0.60,85.66,1.08,4915.2,2764.8
500,10_90,secondary3,0.53,86.03,1.09,5027.84,2795.52
500,10_90,primary,0.72,117.6,1.49,57036.8,24576.0
1000,1_0,secondary1,0.58,94.49,1.19,5048.32,2836.48
1000,1_0,secondary2,0.71,85.68,1.08,4966.4,2826.24
1000,1_0,secondary3,0.65,86,1.09,5079.04,2856.96
1000,1_0,primary,1.00,117.6,1.49,58470.4,26009.6
1000,50_50,secondary1,0.69,94.52,1.19,5089.28,2897.92
1000,50_50,secondary2,0.65,85.67,1.08,5007.36,2877.44
